reason_code,network,has_3ds_auth,has_delivery_proof,has_avs_cvv_match,has_ip_device_fingerprint,has_prior_comms,has_signed_receipt,has_usage_logs,days_remaining,days_since_transaction,repeat_dispute_count,transaction_amount_inr,merchant_category,evidence_completeness_score,outcome
visa_13.8,visa,0,0,0,1,0,1,0,32,37,0,9211.59,fintech,0,0
rupay_1065,rupay,1,1,1,1,0,0,0,36,12,4,15126.03,travel,2,1
mc_4855,mc,0,0,1,1,0,0,1,21,100,4,12260.29,retail,1,0
visa_10.3,visa,0,0,0,1,1,0,1,12,9,2,7803.25,ecommerce,0,0
visa_13.2,visa,1,0,1,0,1,0,0,19,8,0,3804.44,healthcare,1,1
rupay_ru01,rupay,0,0,0,1,0,1,0,27,74,3,1043.04,fintech,1,0
mc_4870,mc,1,1,1,1,0,0,1,13,92,5,3858.37,retail,2,1
visa_13.4,visa,0,1,0,1,1,0,1,21,75,3,2433.42,ecommerce,2,0
rupay_ru01,rupay,1,1,1,1,1,0,0,23,57,3,25595.61,healthcare,2,1
visa_13.6,visa,1,1,1,1,1,0,0,28,92,0,2508.3,healthcare,2,1
mc_4841,mc,1,1,1,0,0,0,0,6,82,0,7062.18,fintech,0,1
amex_F29,amex,1,0,1,1,0,1,0,11,85,1,4093.67,healthcare,1,1
rupay_1062,rupay,1,1,1,1,0,0,1,5,95,1,19650.03,retail,1,0
mc_4871,mc,0,0,1,1,0,0,0,4,62,3,11417.52,ecommerce,2,0
visa_13.7,visa,1,1,1,1,1,0,1,44,5,0,12654.73,healthcare,2,1
mc_4834,mc,1,1,0,0,1,1,1,34,38,1,8198.98,saas,2,1
mc_4855,mc,1,0,1,1,1,0,0,17,5,2,5019.82,retail,0,0
rupay_1085,rupay,0,1,1,0,0,0,0,11,115,0,5031.25,ecommerce,0,0
mc_4870,mc,1,0,1,0,0,1,0,32,50,1,2127.27,ecommerce,2,1
rupay_1062,rupay,1,1,1,1,0,0,1,14,90,1,420.85,travel,1,1
rupay_ru02,rupay,1,1,0,0,0,0,1,35,52,0,3802.28,retail,1,0
mc_4853,mc,1,1,1,0,0,0,1,23,110,1,347.57,healthcare,1,1
amex_C31,amex,1,1,1,0,0,0,1,22,90,0,2224.41,retail,2,1
visa_13.1,visa,1,1,1,1,1,1,0,40,113,1,3908.46,healthcare,1,0
visa_13.4,visa,0,0,1,1,0,1,0,21,70,0,5452.47,saas,2,1
amex_M10,amex,1,0,1,0,0,0,1,24,95,3,6964.14,fintech,2,0
amex_C18,amex,1,0,1,0,1,1,0,26,51,2,1936.09,healthcare,2,0
disc_DP,disc,0,1,0,1,1,1,0,11,100,0,7308.91,fintech,2,0
mc_4850,mc,1,1,1,1,1,0,0,9,17,0,5226.96,travel,2,1
rupay_1085,rupay,0,1,0,0,0,1,1,34,76,0,20978.26,fintech,0,1
rupay_ru02,rupay,1,0,0,0,1,1,0,19,78,0,3655.69,ecommerce,1,1
amex_C28,amex,1,0,1,1,0,0,1,15,97,0,18486.72,retail,2,1
mc_4834,mc,1,0,1,1,1,0,0,15,111,1,6199.31,ecommerce,2,1
amex_M49,amex,0,1,1,1,1,0,0,10,5,3,3449.4,ecommerce,2,1
rupay_ru01,rupay,1,0,1,1,1,0,0,12,45,1,8298.75,travel,1,1
rupay_ru02,rupay,1,1,1,1,1,0,0,26,46,1,19529.94,travel,1,0
visa_13.3,visa,1,1,0,1,0,1,1,37,72,1,11900.89,retail,0,1
mc_4812,mc,1,1,1,0,1,0,0,26,110,0,14636.16,retail,2,1
visa_12.1,visa,1,1,1,1,1,0,1,26,41,0,4382.38,fintech,2,1
amex_C02,amex,0,1,1,0,1,0,1,24,25,0,4443.01,healthcare,2,1
amex_A01,amex,1,0,1,1,1,0,1,20,118,3,6226.94,fintech,2,0
visa_10.3,visa,1,1,1,1,1,0,0,45,93,0,6756.35,healthcare,0,1
visa_10.2,visa,0,1,1,1,0,0,0,1,8,3,23467.29,ecommerce,2,1
mc_4808,mc,1,0,1,1,0,1,1,1,57,0,2202.09,ecommerce,2,1
rupay_ru02,rupay,1,1,0,1,1,0,0,32,88,1,15586.69,retail,1,1
rupay_1065,rupay,1,0,1,1,1,0,0,23,85,0,1701.62,saas,2,1
mc_4834,mc,1,0,0,1,0,0,0,12,20,1,4313.09,ecommerce,2,1
mc_4871,mc,1,1,0,0,0,1,0,23,96,0,281.8,ecommerce,2,1
visa_13.4,visa,1,0,1,1,1,1,0,45,98,0,248.5,ecommerce,2,1
amex_P08,amex,1,0,1,1,1,1,0,42,86,0,18522.17,saas,2,1
amex_A08,amex,1,0,1,1,1,0,0,2,54,1,791.43,saas,2,0
rupay_ru01,rupay,1,1,1,1,1,0,0,34,55,1,22195.37,saas,2,1
rupay_1065,rupay,1,1,1,1,0,0,0,34,73,2,1001.75,travel,2,0
visa_11.2,visa,0,1,1,1,0,1,1,44,51,0,7237.29,travel,2,1
mc_4871,mc,1,0,1,0,0,0,0,24,83,1,13242.35,healthcare,2,1
rupay_ru02,rupay,0,0,1,1,0,1,1,32,10,1,58851.49,saas,1,1
mc_4837,mc,1,1,1,0,0,0,0,29,82,1,551.57,retail,1,1
mc_4837,mc,1,0,1,1,1,0,1,43,40,0,4246.64,healthcare,1,1
mc_4837,mc,0,1,1,0,0,0,1,2,55,0,37219.18,retail,1,1
visa_10.5,visa,1,1,0,1,0,0,0,44,57,1,2636.19,saas,1,1
mc_4871,mc,1,1,1,0,0,0,0,4,18,0,444.04,ecommerce,2,1
visa_10.1,visa,0,1,1,0,0,1,1,43,70,8,17347.06,retail,2,1
rupay_ru02,rupay,0,0,0,1,0,1,0,45,110,0,1653.81,fintech,1,1
visa_13.8,visa,1,0,1,1,1,1,1,42,35,2,9626.36,saas,2,1
visa_10.3,visa,0,1,1,1,1,0,0,41,56,0,1209.64,retail,0,1
amex_R03,amex,0,0,0,0,1,0,0,15,38,0,10382.04,retail,0,0
mc_4808,mc,1,1,1,1,1,0,0,29,115,2,3519.35,travel,2,1
rupay_1062,rupay,1,1,0,0,1,1,1,41,13,2,9664.64,saas,2,1
rupay_ru02,rupay,1,0,1,0,1,0,1,10,32,0,10985.27,healthcare,0,0
visa_11.2,visa,0,0,1,1,0,0,1,17,104,0,8141.1,travel,2,0
mc_4853,mc,0,1,0,1,1,0,1,30,37,0,22246.03,ecommerce,2,1
rupay_1085,rupay,1,1,0,1,1,0,1,18,50,8,9117.38,ecommerce,2,1
mc_4834,mc,1,0,1,1,1,0,1,11,58,0,1484.72,retail,2,1
mc_4808,mc,0,1,0,1,1,0,1,14,84,1,2653.49,ecommerce,2,1
disc_AP,disc,1,1,0,1,1,0,0,3,1,0,10411.1,travel,1,1
rupay_1085,rupay,1,0,0,1,0,0,0,25,17,0,1434.65,healthcare,0,0
mc_4850,mc,1,1,0,1,1,1,0,15,25,0,7396.94,retail,2,1
rupay_1085,rupay,1,0,1,1,1,0,0,8,11,8,1396.21,travel,2,0
mc_4853,mc,0,1,0,0,1,1,1,41,8,1,11163.57,saas,2,1
visa_10.2,visa,1,0,1,1,0,0,1,33,2,0,17232.82,healthcare,2,1
visa_13.6,visa,0,1,1,0,0,0,1,42,119,1,24317.78,travel,0,0
visa_12.5,visa,0,0,1,0,0,1,1,28,62,2,7679.32,saas,2,0
mc_4841,mc,0,0,1,0,0,0,0,14,75,1,7297.02,retail,0,0
rupay_ru01,rupay,1,0,1,1,1,1,0,32,51,0,268.65,ecommerce,1,1
rupay_1062,rupay,1,1,1,1,0,0,0,15,97,2,1631.16,ecommerce,1,1
disc_RM,disc,1,0,1,0,1,0,0,32,105,0,10435.37,healthcare,2,0
mc_4855,mc,0,0,1,1,1,1,0,45,18,1,10667.44,healthcare,1,1
visa_11.1,visa,0,0,1,1,1,0,1,45,41,0,16468.05,retail,2,1
mc_4853,mc,1,1,1,1,0,1,0,37,5,0,11979.13,healthcare,1,0
visa_13.4,visa,0,1,1,1,0,0,0,30,105,0,2387.75,ecommerce,2,1
rupay_1085,rupay,0,1,1,1,1,0,0,44,56,1,16316.09,retail,2,1
visa_13.1,visa,1,1,1,1,1,0,0,6,101,4,3140.2,ecommerce,1,0
mc_4837,mc,1,1,0,0,0,1,1,39,95,0,6000.64,travel,1,1
visa_13.5,visa,1,1,1,1,1,1,0,21,1,1,1458.38,healthcare,2,1
visa_13.4,visa,0,1,1,0,0,0,0,26,8,3,11806.07,fintech,2,0
visa_13.1,visa,0,0,1,0,1,0,0,28,66,8,495.3,saas,0,0
disc_RM,disc,1,0,0,1,1,1,0,4,102,0,18631.5,fintech,2,1
amex_F24,amex,1,0,1,1,1,0,1,7,15,1,4035.48,fintech,1,1
mc_4834,mc,1,1,1,1,1,0,1,9,3,0,24306.0,travel,2,1
rupay_ru01,rupay,0,0,1,1,0,0,0,43,48,0,11091.0,fintech,1,0
rupay_1065,rupay,1,0,1,0,0,1,1,15,68,4,3566.26,saas,2,1
visa_11.2,visa,1,1,1,1,1,0,0,36,30,1,2646.49,travel,2,1
mc_4834,mc,1,1,1,1,0,1,0,42,61,0,26458.9,saas,2,1
mc_4834,mc,0,0,1,0,1,0,1,22,92,0,2006.51,fintech,2,1
rupay_ru01,rupay,1,0,0,1,0,1,0,19,100,0,8910.12,travel,1,1
visa_10.5,visa,1,1,1,1,1,1,0,17,22,0,8317.14,fintech,2,1
rupay_1085,rupay,1,1,1,1,0,1,0,21,18,0,4571.72,travel,0,0
rupay_ru01,rupay,0,0,1,1,1,0,0,36,104,1,7345.79,travel,1,1
mc_4841,mc,1,1,1,1,1,0,0,32,21,0,7287.84,ecommerce,1,1
rupay_1065,rupay,1,1,1,1,0,0,1,23,30,0,7049.06,travel,2,1
visa_12.5,visa,0,0,0,1,0,0,1,12,17,0,31906.68,fintech,0,0
mc_4871,mc,1,1,0,1,1,1,0,30,21,0,2476.98,ecommerce,2,1
rupay_1085,rupay,0,0,1,1,0,0,0,45,66,0,3501.12,saas,0,1
visa_11.1,visa,1,0,1,0,1,0,1,15,86,1,4068.06,ecommerce,2,1
mc_4871,mc,1,1,1,0,0,1,0,7,52,2,3215.1,healthcare,2,1
visa_13.3,visa,1,1,0,1,1,0,0,33,36,1,1299.13,travel,2,1
amex_R03,amex,0,1,0,0,1,0,0,4,25,0,766.75,travel,1,0
rupay_ru01,rupay,1,0,0,0,0,1,0,43,2,1,1419.23,healthcare,0,0
visa_10.5,visa,0,1,1,0,0,0,1,19,9,0,1135.27,travel,1,0
visa_12.5,visa,1,0,1,1,1,1,1,29,52,1,15171.83,fintech,2,1
rupay_1085,rupay,0,1,1,1,0,0,0,22,5,0,4404.94,saas,0,1
mc_4850,mc,1,1,0,1,0,0,0,45,85,0,634.39,fintech,2,1
visa_13.2,visa,1,1,1,1,0,0,0,34,52,0,8537.77,retail,0,0
rupay_1065,rupay,1,0,1,0,0,0,1,41,1,2,735.96,retail,2,0
visa_13.7,visa,0,1,0,0,0,0,0,15,17,0,5945.26,travel,2,1
visa_13.8,visa,0,1,1,1,0,1,0,24,99,0,25180.21,retail,0,0
rupay_1065,rupay,1,1,1,0,1,0,0,5,5,1,11664.03,fintech,2,1
visa_13.3,visa,1,1,0,1,1,0,0,3,49,0,2516.56,retail,2,1
visa_13.2,visa,0,1,0,1,0,0,0,13,53,4,5984.57,healthcare,0,0
rupay_1085,rupay,1,1,1,1,0,0,0,25,114,4,2302.79,healthcare,0,0
visa_12.5,visa,1,0,1,1,1,1,1,41,47,0,11353.35,ecommerce,2,1
mc_4834,mc,0,0,0,0,0,0,1,22,92,0,1540.81,healthcare,2,1
visa_13.3,visa,0,0,1,1,1,1,0,33,56,1,995.78,saas,2,1
visa_13.5,visa,1,0,0,1,0,0,1,44,5,3,2704.76,fintech,2,0
visa_10.1,visa,0,0,1,0,1,0,1,13,9,1,141.95,fintech,2,1
rupay_1085,rupay,1,0,1,0,0,0,0,6,56,0,1165.64,saas,0,0
mc_4863,mc,1,0,1,1,1,0,0,10,38,0,1700.49,fintech,0,1
mc_4855,mc,1,0,1,0,0,0,1,24,34,1,7473.35,healthcare,1,0
visa_10.2,visa,1,0,1,0,1,1,0,36,64,0,3840.37,fintech,2,1
visa_10.5,visa,0,1,1,1,1,1,1,45,33,0,8188.71,fintech,2,1
rupay_ru02,rupay,1,1,0,1,1,0,0,10,50,0,9738.5,ecommerce,1,1
mc_4870,mc,1,0,0,0,0,1,0,5,93,0,5345.36,healthcare,2,1
mc_4871,mc,0,0,1,1,1,1,1,36,70,0,2141.45,retail,2,1
visa_11.2,visa,1,0,1,1,0,0,0,7,35,0,12476.46,retail,2,1
disc_IC,disc,1,1,0,1,0,1,0,18,107,0,6181.49,fintech,2,0
mc_4871,mc,1,0,1,0,1,0,1,42,26,0,2510.55,fintech,2,1
rupay_1065,rupay,0,1,1,1,1,0,1,12,61,0,1411.89,fintech,2,1
visa_13.5,visa,1,0,1,1,0,1,1,41,39,1,6374.0,healthcare,2,1
visa_10.5,visa,1,1,1,0,1,0,0,39,86,0,12470.58,fintech,1,1
visa_13.6,visa,1,0,0,1,0,1,0,4,110,2,244.87,fintech,0,0
visa_13.7,visa,0,1,1,0,1,1,0,2,25,0,3468.65,saas,2,1
visa_12.5,visa,1,0,1,1,0,0,0,11,120,0,890.05,retail,0,1
mc_4855,mc,0,1,1,0,0,1,0,20,70,2,3147.29,saas,1,0
amex_C04,amex,0,1,0,1,0,0,1,43,101,0,7742.29,healthcare,0,0
visa_11.1,visa,0,0,1,0,0,1,1,13,34,0,17191.67,fintech,2,1
mc_4870,mc,1,1,1,1,1,1,0,5,99,0,15725.41,fintech,2,1
rupay_1065,rupay,1,0,1,1,1,0,0,34,86,2,3366.25,fintech,2,0
visa_13.8,visa,0,0,1,1,0,0,0,11,57,0,6987.79,healthcare,0,1
rupay_1085,rupay,0,0,1,1,1,0,0,28,47,0,15588.95,fintech,2,1
visa_12.6.1,visa,0,1,1,0,0,0,0,35,57,0,8571.2,travel,2,1
amex_A01,amex,0,0,0,0,0,1,1,23,59,0,4839.98,retail,2,1
mc_4871,mc,0,1,1,0,0,0,0,24,14,3,2728.45,retail,2,0
amex_A08,amex,1,0,0,0,0,1,1,19,47,0,2071.74,saas,2,1
visa_12.1,visa,1,1,1,1,0,1,0,41,59,1,7406.53,ecommerce,2,1
visa_11.3,visa,0,0,1,1,1,0,0,30,12,1,43219.1,healthcare,2,1
amex_A02,amex,1,1,0,1,0,0,1,4,35,2,16994.32,saas,2,0
mc_4871,mc,1,1,1,1,1,0,1,29,22,1,8082.34,ecommerce,2,1
mc_4812,mc,0,1,1,1,0,0,1,2,88,1,10987.94,retail,2,0
mc_4853,mc,1,1,1,1,0,0,0,42,65,0,5224.0,healthcare,1,1
rupay_1065,rupay,1,1,1,1,0,1,0,8,43,2,2782.75,saas,2,1
mc_4863,mc,1,1,1,1,0,1,0,17,88,0,17052.96,travel,2,1
mc_4808,mc,1,0,1,1,1,0,0,19,76,3,8992.19,travel,2,0
visa_11.3,visa,0,1,0,0,1,1,0,30,109,2,431.23,travel,2,0
amex_A01,amex,1,0,0,0,0,0,0,33,76,0,3605.2,travel,2,1
amex_A08,amex,0,0,1,1,0,0,1,39,28,0,8226.17,ecommerce,2,1
rupay_ru01,rupay,1,0,0,0,1,0,0,45,79,0,1150.02,travel,0,1
mc_4853,mc,1,0,1,0,1,0,1,9,53,3,7238.36,healthcare,1,0
visa_10.4,visa,1,1,1,0,0,1,0,36,33,0,5834.3,saas,1,1
visa_10.4,visa,1,1,0,0,0,0,0,35,43,0,12650.99,retail,1,1
mc_4855,mc,1,0,1,0,1,0,0,45,50,0,323.38,fintech,0,0
mc_4812,mc,0,1,1,1,0,0,0,15,117,0,18527.34,saas,2,1
visa_13.6,visa,0,1,0,0,1,1,0,17,109,5,11981.46,travel,2,0
disc_UA,disc,1,1,1,1,1,0,1,45,51,0,5765.22,healthcare,1,1
rupay_ru02,rupay,1,0,1,1,1,1,0,34,11,0,12300.35,travel,1,1
rupay_ru01,rupay,1,1,0,1,1,0,1,37,36,3,1235.94,travel,1,1
mc_4863,mc,1,1,1,1,1,0,0,20,41,3,23165.24,fintech,0,0
visa_13.3,visa,1,0,1,0,1,0,0,33,62,2,4009.13,ecommerce,2,1
mc_4850,mc,1,0,0,0,0,1,1,4,7,4,1889.89,saas,2,1
visa_13.7,visa,0,1,0,0,0,1,0,13,47,1,20970.99,healthcare,2,1
visa_10.2,visa,1,0,0,0,0,0,0,2,41,0,1992.92,retail,2,1
disc_AP,disc,1,0,1,0,0,0,1,25,37,1,1333.14,retail,1,1
rupay_1062,rupay,0,0,0,0,1,0,0,14,4,0,646.32,ecommerce,1,1
visa_12.5,visa,1,0,0,1,1,0,0,40,17,0,12759.08,ecommerce,0,0
rupay_1065,rupay,1,1,1,1,0,0,1,14,120,0,19025.14,ecommerce,2,1
visa_12.6.1,visa,1,1,1,0,1,0,1,22,31,3,5694.67,healthcare,2,0
mc_4870,mc,1,0,1,0,0,1,1,24,79,1,5974.59,healthcare,2,1
visa_13.2,visa,0,1,1,1,0,0,0,12,49,0,101.08,healthcare,0,0
mc_4850,mc,1,1,0,1,1,0,0,29,28,0,3673.22,travel,2,1
visa_13.4,visa,0,1,0,0,0,1,0,12,51,0,9392.91,fintech,2,1
mc_4812,mc,1,0,0,1,0,1,1,33,24,2,24190.46,travel,2,1
rupay_ru02,rupay,1,1,0,0,0,0,1,28,41,0,1041.06,ecommerce,1,1
rupay_1065,rupay,0,1,0,1,1,0,1,9,73,3,10589.39,saas,2,0
rupay_1085,rupay,0,0,1,1,1,0,1,6,108,0,9270.51,retail,2,1
mc_4808,mc,1,1,1,0,1,1,0,10,46,0,19459.13,ecommerce,2,1
rupay_1062,rupay,0,0,1,0,0,1,0,29,43,3,440.39,saas,0,0
mc_4808,mc,0,1,1,1,0,1,0,42,59,0,3767.56,travel,2,1
visa_13.9,visa,1,1,1,0,0,0,0,16,43,1,6459.35,healthcare,2,1
amex_C18,amex,0,1,0,0,0,0,0,40,67,1,22265.16,ecommerce,2,1
rupay_ru02,rupay,1,1,1,1,1,0,0,20,50,1,6691.4,ecommerce,1,1
rupay_1065,rupay,1,0,1,0,1,0,0,13,53,0,19051.59,fintech,2,1
visa_13.5,visa,1,0,0,1,1,0,0,26,113,4,5602.29,healthcare,2,0
visa_12.1,visa,1,1,1,0,0,1,1,6,38,4,11545.46,fintech,2,0
mc_4853,mc,1,1,1,0,0,1,1,17,112,8,6093.22,travel,1,0
mc_4834,mc,0,1,1,1,0,1,0,12,11,0,20244.8,travel,2,1
visa_12.6.1,visa,1,1,1,0,1,0,1,43,117,4,27402.76,fintech,2,0
mc_4808,mc,0,0,1,1,0,1,1,22,93,0,197.42,fintech,2,0
visa_13.4,visa,1,0,1,0,0,0,1,8,48,0,4578.75,travel,2,1
visa_11.2,visa,1,0,1,1,0,1,1,32,89,2,3818.21,travel,2,1
mc_4834,mc,0,0,0,1,0,1,0,20,53,0,8651.6,ecommerce,2,1
visa_12.5,visa,1,0,1,1,0,0,0,17,22,3,2755.62,ecommerce,0,0
disc_RM,disc,1,1,1,1,1,0,0,7,26,3,4450.21,saas,2,1
rupay_1065,rupay,1,1,1,1,0,0,1,28,110,0,672.03,travel,2,0
amex_C14,amex,1,1,0,0,0,0,1,42,4,0,16792.25,retail,2,1
mc_4853,mc,1,1,1,1,1,0,0,6,101,1,1890.75,saas,2,1
visa_12.6.1,visa,1,1,0,1,0,0,1,36,111,0,11485.96,saas,2,1
rupay_1085,rupay,0,0,1,1,0,0,1,36,39,0,11600.12,saas,0,1
mc_4837,mc,1,1,1,0,0,0,0,17,11,1,5360.19,retail,1,1
mc_4855,mc,0,0,1,1,1,1,0,17,105,0,1485.55,healthcare,1,0
visa_12.1,visa,1,0,1,1,1,0,0,41,93,0,2020.22,ecommerce,2,0
rupay_1085,rupay,1,1,0,0,0,0,0,26,15,0,4018.22,travel,0,0
amex_A02,amex,1,0,1,0,1,1,0,24,59,0,9898.66,travel,2,1
mc_4837,mc,1,1,1,1,0,1,1,19,76,0,17018.3,travel,2,1
rupay_1065,rupay,0,0,1,0,0,0,0,3,114,2,19023.1,ecommerce,2,0
visa_11.3,visa,0,1,1,1,0,0,1,33,5,1,4247.2,fintech,2,1
visa_10.3,visa,0,1,1,0,0,0,0,4,33,1,9005.24,saas,0,0
rupay_1085,rupay,1,1,0,1,0,0,0,8,90,0,30314.43,travel,0,1
visa_13.5,visa,1,0,1,1,1,0,0,7,3,0,5378.31,ecommerce,2,1
visa_11.1,visa,1,0,0,0,0,0,1,27,41,0,7411.24,retail,2,1
rupay_1085,rupay,1,1,1,0,0,0,1,6,105,0,2396.38,saas,0,0
visa_11.3,visa,1,1,1,0,0,1,0,22,100,1,9218.27,fintech,2,0
mc_4841,mc,1,0,1,1,1,0,1,42,32,1,30280.51,retail,2,0
visa_13.7,visa,1,1,1,0,1,0,0,29,73,0,44814.25,retail,2,1
visa_13.9,visa,1,0,0,1,1,1,0,33,110,0,2375.47,healthcare,2,1
visa_13.3,visa,1,0,1,0,0,1,1,38,19,0,2764.84,healthcare,0,1
rupay_ru01,rupay,1,1,1,0,0,1,0,6,107,0,2605.13,saas,1,1
mc_4871,mc,0,0,0,1,1,0,1,40,36,0,1347.5,ecommerce,2,1
rupay_1065,rupay,1,1,0,1,0,0,0,43,54,0,1986.08,fintech,2,1
visa_12.1,visa,0,1,1,0,0,0,1,28,21,1,10299.9,travel,2,1
rupay_1062,rupay,1,0,1,0,0,0,0,24,25,2,2047.38,healthcare,0,0
rupay_1065,rupay,0,0,1,1,0,0,1,6,115,2,3532.61,ecommerce,2,0
mc_4841,mc,0,0,1,1,0,0,0,37,87,0,9572.04,healthcare,0,0
visa_13.3,visa,1,1,1,0,1,0,0,33,30,0,1549.76,fintech,2,1
amex_P08,amex,1,1,1,1,0,0,0,19,118,0,25823.61,healthcare,2,1
rupay_1062,rupay,1,1,1,1,1,1,0,34,115,0,6953.04,saas,2,1
visa_13.2,visa,0,0,1,0,0,1,0,13,69,2,9187.96,travel,0,0
rupay_1085,rupay,0,0,1,0,1,0,1,43,32,1,17167.02,travel,2,1
rupay_1065,rupay,0,0,1,0,0,0,0,7,78,0,13845.04,healthcare,2,1
mc_4863,mc,1,1,1,0,0,0,0,8,22,0,1704.44,travel,0,1
rupay_1065,rupay,0,1,0,1,0,1,0,29,106,0,2088.83,fintech,2,1
mc_4837,mc,1,1,1,1,1,0,1,27,30,0,8770.21,fintech,2,1
mc_4812,mc,1,0,0,1,0,1,0,37,112,2,13096.5,travel,2,1
mc_4834,mc,1,0,1,0,0,0,1,29,58,3,11474.22,healthcare,2,0
mc_4812,mc,0,0,1,0,0,0,1,16,8,1,1740.2,retail,2,0
mc_4850,mc,0,0,0,0,1,0,0,26,23,1,12826.56,travel,2,1
visa_13.2,visa,0,1,0,0,0,0,0,13,27,1,2559.11,fintech,0,0
rupay_1065,rupay,0,0,0,1,0,0,0,28,8,0,2504.26,travel,2,1
visa_13.8,visa,0,1,1,1,1,0,1,40,29,0,8891.42,fintech,2,1
visa_12.1,visa,0,0,0,0,1,1,1,27,96,1,145.88,ecommerce,2,1
mc_4863,mc,1,1,1,0,1,1,0,30,48,0,226.95,travel,2,1
visa_10.2,visa,0,0,1,1,0,0,1,5,85,0,4062.16,saas,2,1
visa_12.1,visa,1,0,1,1,1,0,1,11,110,0,7809.72,travel,2,1
rupay_1065,rupay,1,1,1,0,0,1,0,32,11,2,3700.75,retail,2,1
amex_C31,amex,1,0,1,1,1,1,0,22,83,1,13396.74,travel,2,1
mc_4853,mc,1,1,1,1,1,0,1,33,119,0,4934.92,fintech,2,1
mc_4837,mc,0,0,1,0,1,0,1,2,36,0,10893.98,healthcare,1,0
visa_11.2,visa,1,0,1,1,1,0,0,43,7,0,30000.18,fintech,2,1
rupay_1085,rupay,1,0,0,1,0,0,1,31,119,1,22711.06,travel,0,0
rupay_1065,rupay,1,1,1,1,1,1,0,11,98,0,1993.81,healthcare,2,1
visa_10.3,visa,1,1,1,1,0,1,1,40,72,0,2709.93,saas,2,1
rupay_ru02,rupay,1,1,1,1,0,0,1,32,36,0,13344.85,travel,1,1
visa_12.1,visa,1,0,1,1,0,0,0,32,62,0,7053.33,ecommerce,2,1
mc_4850,mc,1,0,1,1,0,0,0,42,53,0,5006.28,retail,2,1
rupay_ru02,rupay,1,0,0,0,0,0,1,17,32,3,3814.94,travel,0,0
visa_13.4,visa,1,0,1,1,1,0,1,18,16,0,4940.94,fintech,2,1
rupay_ru01,rupay,1,1,0,1,1,0,0,31,54,0,6535.53,fintech,1,1
mc_4850,mc,0,1,1,1,0,0,0,34,80,0,21051.94,saas,2,1
